| # | team | hello | lambdaman | spaceship | 3d | efficiency |
| 156 | Sabae no Applicative Functor | 80 |  |  |  |  |
| 156 | pandaT | 80 |  |  |  |  |
| 190 | Keksfreunde | 179 |  |  |  |  |
| 190 | a | 179 |  |  |  |  |
| 190 | TS_TCPC | 179 |  |  |  |  |
| 190 | Whoknows | 179 |  |  |  |  |
| 190 | idkjava | 179 |  |  |  |  |
| 190 | Dis Functional | 179 |  |  |  |  |
| 190 | Sumedh Girish | 179 |  |  |  |  |
| 190 | C64 | 179 |  |  |  |  |
| 198 | Golden Middle | 191 |  |  |  |  |
| 198 | azak | 191 |  |  |  |  |
| 198 | mcpony | 191 |  |  |  |  |
| 198 | Sihl++ | 191 |  |  |  |  |
| 198 | hk | 191 |  |  |  |  |
| 198 | Tusan | 191 |  |  |  |  |
| 198 | insert team name here | 191 |  |  |  |  |
| 198 | optima | 191 |  |  |  |  |
| 198 | Team Sampou | 191 |  |  |  |  |
| 198 | xiberfix | 191 |  |  |  |  |
| 198 | hayato | 191 |  |  |  |  |
| 198 | sushi-gakushi | 191 |  |  |  |  |
| 198 | Distracted Corvids | 191 |  |  |  |  |
| 198 | ThinkWithGames | 191 |  |  |  |  |
| 198 | DNIWE :: a | 191 |  |  |  |  |
| 198 | Sigmoid Freud | 191 |  |  |  |  |
| 198 | uguu.org | 191 |  |  |  |  |
| 215 | 7999f27ae4db | 215 |  |  |  |  |
| 215 | Q | 215 |  |  |  |  |
| 215 | kakira | 215 |  |  |  |  |
| 215 | skullgang | 215 |  |  |  |  |
| 215 | speakerteeth | 215 |  |  |  |  |
| 215 | Aqqrs | 215 |  |  |  |  |
| 215 | cleanlean | 215 |  |  |  |  |
| 215 | Scr4peR | 215 |  |  |  |  |
| 215 | Typeclass Without Laws | 215 |  |  |  |  |
| 215 | Freddy Pringle | 215 |  |  |  |  |
| 215 | Fixed but mostly pointless | 215 |  |  |  |  |
| 215 | NasconDini | 215 |  |  |  |  |
| 215 | fantastic-couscous | 215 |  |  |  |  |
| 215 | balonit_bros | 215 |  |  |  |  |
| 215 | keles | 215 |  |  |  |  |
| 215 | GrinGene | 215 |  |  |  |  |
| 215 | Hacksell | 215 |  |  |  |  |
| 215 | GeriatricCoder | 215 |  |  |  |  |
| 215 | Serpens Viridis | 215 |  |  |  |  |
| 215 | Dysfunction | 215 |  |  |  |  |
| 215 | tryhard | 215 |  |  |  |  |
| 215 | TerrorBytes | 215 |  |  |  |  |
| 215 | Sigmoid Freud | 215 |  |  |  |  |
| 215 | the-bam | 215 |  |  |  |  |
| 215 | Gobelet | 215 |  |  |  |  |
| 215 | Man with a minivan | 215 |  |  |  |  |
| 215 | mmohammadi9812 | 215 |  |  |  |  |
| 215 | yosupo | 215 |  |  |  |  |
| 215 | spid2007 | 215 |  |  |  |  |
| 215 | Blue Iris | 215 |  |  |  |  |
| 215 | Now Loading... | 215 |  |  |  |  |
| 215 | winterfell | 215 |  |  |  |  |
| 215 | Stochastic Pretzels | 215 |  |  |  |  |
| 215 | xyz600 | 215 |  |  |  |  |
| 215 | bscii | 215 |  |  |  |  |
| 215 | Team Solo Mec | 215 |  |  |  |  |
| 215 | ? | 215 |  |  |  |  |
| 215 | N0BML | 215 |  |  |  |  |
| 215 | Lambda Collective | 215 |  |  |  |  |
| 215 | Undecidable | 215 |  |  |  |  |
| 215 | Cail_Team | 215 |  |  |  |  |
| 215 | no-team | 215 |  |  |  |  |
| 215 | ()-age | 215 |  |  |  |  |
| 215 | lotren | 215 |  |  |  |  |
| 215 | gummycandy | 215 |  |  |  |  |
| 215 | Lexi | 215 |  |  |  |  |
| 215 | almosthere | 215 |  |  |  |  |
| 215 | awawa | 215 |  |  |  |  |
| 215 | TurtlePU | 215 |  |  |  |  |
| 215 | sushi-gakushi | 215 |  |  |  |  |
| 215 | samayou_kaede | 215 |  |  |  |  |
| 215 | poka | 215 |  |  |  |  |
| 215 | DEIN | 215 |  |  |  |  |
| 215 | Luke & Hamish | 215 |  |  |  |  |
| 269 | The Old Man and the C |  |  |  |  |  |
| 269 | Hollow Purple |  |  |  |  |  |
| 269 | D Yang |  |  |  |  |  |
| 269 | tratata |  |  |  |  |  |
| 269 | LLAMACHAIN |  |  |  |  |  |
| 269 | null |  |  |  |  |  |
| 269 | F47 |  |  |  |  |  |
| 269 | quoc28 |  |  |  |  |  |
| 269 | maron8676 |  |  |  |  |  |
| 269 | Team AK |  |  |  |  |  |
| 269 | hustlers |  |  |  |  |  |
| 269 | SoloQueue |  |  |  |  |  |
| 269 | Fantastic 4 |  |  |  |  |  |
| 269 | Slasher |  |  |  |  |  |
| 269 | Dynamo |  |  |  |  |  |
| 269 | Codehunters |  |  |  |  |  |
| 269 | jonathanprogramming |  |  |  |  |  |
| 269 | DarkKnignt |  |  |  |  |  |
| 269 | plan arado |  |  |  |  |  |
| 269 | ateam |  |  |  |  |  |
| 269 | ateam |  |  |  |  |  |
| 269 | aaaa |  |  |  |  |  |
| 269 | GRARIO |  |  |  |  |  |
| 269 | Miracle |  |  |  |  |  |
| 269 | Want To Delete This Account |  |  |  |  |  |
| 269 | solo rank |  |  |  |  |  |
| 269 | ? |  |  |  |  |  |
| 269 | V |  |  |  |  |  |
| 269 | InKryptz |  |  |  |  |  |
| 269 | swayingfish |  |  |  |  |  |
| 269 | One-Pass Gang |  |  |  |  |  |
| 269 | beginner |  |  |  |  |  |
| 269 | random_team |  |  |  |  |  |
| 269 | ToiToi |  |  |  |  |  |
| 269 | Gassa |  |  |  |  |  |
| 269 | blueboar's team |  |  |  |  |  |
| 269 | Ace_yuki |  |  |  |  |  |
| 269 | AAV2024 |  |  |  |  |  |
| 269 | The Marauder |  |  |  |  |  |
| 269 | 0xValhalla |  |  |  |  |  |
| 269 | HCF |  |  |  |  |  |
| 269 | KBashist |  |  |  |  |  |
| 269 | sad |  |  |  |  |  |
| 269 | ush |  |  |  |  |  |
| 269 | farwah |  |  |  |  |  |
| 269 | Discord doesn't work can we please use email instead kthxbye |  |  |  |  |  |
| 269 | ml-brothers |  |  |  |  |  |
| 269 | zenito9970 |  |  |  |  |  |
| 269 | not used |  |  |  |  |  |
| 269 | Binary_Three |  |  |  |  |  |
| 269 | The Demolishers |  |  |  |  |  |
| 269 | @mask |  |  |  |  |  |
| 269 | Strength |  |  |  |  |  |
| 269 | Vic |  |  |  |  |  |
| 269 | leojean890 |  |  |  |  |  |
| 269 | bark but don't bite |  |  |  |  |  |
| 269 | past_army |  |  |  |  |  |
| 269 | solo_coder |  |  |  |  |  |
| 269 | DETOX |  |  |  |  |  |
| 269 | 4eta |  |  |  |  |  |
| 269 | Cail_Team |  |  |  |  |  |
| 269 | Dyalog hehe |  |  |  |  |  |
| 269 | Test |  |  |  |  |  |
| 269 | SKL |  |  |  |  |  |
| 269 | ilikerice |  |  |  |  |  |
| 269 | De Stomme van Campen |  |  |  |  |  |
| 269 | ccc |  |  |  |  |  |
| 269 | not_participating |  |  |  |  |  |
| 269 | Golden Middle |  |  |  |  |  |
| 269 | wheezards |  |  |  |  |  |
| 269 | TBD |  |  |  |  |  |
| 269 | ToastUz |  |  |  |  |  |
| 269 | skermes |  |  |  |  |  |
| 269 | Reflex12 |  |  |  |  |  |
| 269 | Pi |  |  |  |  |  |
| 269 | (mistakenly registered) |  |  |  |  |  |
| 269 | shukhrat |  |  |  |  |  |
| 269 | globalstudent |  |  |  |  |  |
| 269 | a |  |  |  |  |  |
| 269 | serious |  |  |  |  |  |
| 269 | h4rr9 |  |  |  |  |  |
| 269 | elmurod |  |  |  |  |  |
| 269 | botrevenge |  |  |  |  |  |
| 269 | asldev |  |  |  |  |  |
| 269 | ut |  |  |  |  |  |
| 269 | dapps |  |  |  |  |  |
| 269 | fp[uk] |  |  |  |  |  |
| 269 | O'zim |  |  |  |  |  |
| 269 | Quarks |  |  |  |  |  |
| 269 | wanui |  |  |  |  |  |
| 269 | p-coder |  |  |  |  |  |
| 269 | VL |  |  |  |  |  |
| 269 | 0A |  |  |  |  |  |
| 269 | xmtpj |  |  |  |  |  |
| 269 | Lian Yu |  |  |  |  |  |
| 269 | Canivsar |  |  |  |  |  |
| 269 | wolfadex |  |  |  |  |  |

You scored some points for looking at the scoreboard! You can also do `get scoreboard <coursename>` to see the scoreboard for a specific course.
